日期,现金,持仓市值,总资产,持仓数量
2019-12-09,209.9650000007889,1685882.83,1627933.0530000008,5
2019-12-10,303.9000000007218,1680864.43,1671894.3190000006,5
2019-12-11,299.0140000007814,1668087.04,1671752.1600000006,5
2019-12-12,257.2540000008303,1689318.0520000001,1657616.654000001,5
2019-12-13,175.2840000008582,1695244.3220000002,1658156.5240000007,5
2019-12-16,320.01600000086455,1710406.17,1689865.9060000007,5
2019-12-17,326.2260000007809,1712576.9419999998,1707973.2460000007,5
2019-12-18,240.74600000067358,1705457.939,1716291.9180000008,5
2019-12-19,213.37300000077812,1712762.249,1723513.2760000008,5
2019-12-20,357.80300000089915,1691478.28,1719682.112000001,5
2019-12-23,294.0610000008601,1692038.358,1673392.323000001,5
2019-12-24,377.3750000008454,1706018.298,1688799.347000001,5
2019-12-25,244.95400000091695,1717022.832,1699446.5210000006,5
2019-12-26,223.9760000007809,1749846.979,1727393.0860000006,5
2019-12-27,229.51500000082888,1745016.79,1718850.8160000008,5
2019-12-30,360.3630000007688,1795285.4100000001,1715207.167000001,5
2019-12-31,396.5130000007921,1816567.8,1742602.1630000006,5
2020-01-02,290.71100000076694,1818060.7200000002,1753138.9630000007,5
2020-01-03,362.5340000006836,1826787.63,1779253.9780000006,5
2020-01-06,223.88000000064494,1817447.3800000001,1814605.7500000007,5
2020-01-07,291.12300000095274,1816476.534,1830050.850000001,5
2020-01-08,320.4150000009686,1813681.7619999999,1813922.930000001,5
2020-01-09,328.13500000105705,1813039.182,1839118.7750000008,5
2020-01-10,238.4950000011595,1871314.538,1816203.6550000012,5
2020-01-13,306.32300000125815,1893043.4600000002,1829234.2910000011,5
2020-01-14,316.52800000128445,1868923.185,1878359.6930000011,5
2020-01-15,250.72400000129346,1861253.619,1869904.1930000014,5
2020-01-16,236.4630000013858,1848394.69,1853366.3430000015,5
2020-01-17,98.64300000130902,1938290.458,1843340.8830000013,5
2020-01-20,293.44500000111293,1991339.9980000001,1888675.4790000012,5
2020-01-21,280.562000001315,1951670.42,1959187.4170000013,5
2020-01-22,173.12500000122236,1980441.665,1930733.8720000016,5
2020-01-23,307.0380000011646,2005975.7079999996,1950809.6820000012,5
2020-02-03,250.94200000126148,2088376.408,1964924.1380000012,5
2020-02-04,388.6700000013807,2110613.9639999997,2063420.8700000015,5
2020-02-05,313.1210000013234,2126493.861,2100593.404000001,5
2020-02-06,347.12500000122236,2104114.52,2114397.561000001,5
2020-02-07,349.9500000010594,2151011.415,2128714.550000001,5
2020-02-10,242.54500000120606,2092399.5999999996,2181393.0650000013,5
2020-02-11,308.7450000012759,2095063.5819999997,2092020.9350000012,5
2020-02-12,226.53700000117533,2058746.3599999999,2113229.967000001,5
2020-02-13,297.6970000011288,2051913.96,2061687.0070000014,5
2020-02-14,283.5900000011361,2058313.458,2031711.3370000012,5
2020-02-17,306.1620000010589,2060380.9780000001,2057137.7600000007,5
2020-02-18,343.96500000101514,2054980.738,2075843.6020000011,5
2020-02-19,338.12500000110595,2064761.7380000001,2043638.405000001,5
2020-02-20,362.4150000011432,2166045.896,2068666.4050000012,5
2020-02-21,338.22700000100303,2172983.346,2109348.841000001,5
2020-02-24,209.2210000010091,2218877.733,2168899.591000001,5
2020-02-25,335.7380000008852,2110527.811,2210605.892000001,5
2020-02-26,288.95800000050804,2101126.401,2142268.6580000008,5
2020-02-27,377.56800000049407,2146237.8710000003,2098193.7550000004,5
2020-02-28,134.02900000056252,2158168.79,2089423.8490000006,5
2020-03-02,207.9990000007092,2185009.13,2141920.842000001,5
2020-03-03,331.8530000006431,2140132.444,2183062.5590000004,5
2020-03-04,448.7630000008503,2198059.5,2142606.5370000005,5
2020-03-05,449.37900000083755,2266404.766,2185217.775000001,5
2020-03-06,341.83200000095894,2214587.684,2188566.6630000006,5
2020-03-09,237.84000000095693,2306987.076,2165537.2600000007,5
2020-03-10,460.49600000074133,2454053.865,2290785.776000001,5
2020-03-11,392.44900000077905,2672122.102,2368451.346000001,5
2020-03-12,229.3770000007935,2690049.342,2389549.8590000006,5
2020-03-13,280.33900000090944,2636513.96,2512057.879000001,5
2020-03-16,247.0830000010901,2694659.1399999997,2578961.379000001,5
2020-03-17,348.17700000095647,2732360.161,2694906.223000001,5
2020-03-18,323.0680000006687,2708099.92,2698948.5480000004,5
2020-03-19,276.00800000076197,2697993.6399999997,2662085.558000001,5
2020-03-20,287.12400000111666,2451818.656,2723044.9080000017,5
2020-03-23,335.83900000114227,2500645.846,2462621.570000001,5
2020-03-24,317.23900000116555,2518008.346,2459124.539000001,5
2020-03-25,469.3890000010142,2501648.226,2558855.899000001,5
2020-03-26,412.6490000010235,2527403.5459999996,2560571.142000001,5
2020-03-27,341.23500000103013,2559743.0459999996,2508305.8520000004,5
2020-03-30,230.33900000097674,2563753.0979999998,2645157.9090000014,5
2020-03-31,496.1300000010524,2557765.126,2645376.393000001,5
2020-04-01,360.49500000092667,2545956.873,2624078.1230000006,5
2020-04-02,577.7420000009006,2439246.2460000003,2585973.862000001,5
2020-04-03,408.7990000009304,2483931.7060000002,2580577.162000001,5
2020-04-07,547.1690000011004,2410056.131,2614571.569000001,5
2020-04-08,224.8130000010715,2390198.835,2466938.605000001,5
2020-04-09,357.6310000010999,2288255.739,2479050.943000001,5
2020-04-10,359.869000001112,2332386.259,2344703.125000001,5
2020-04-13,251.06300000095507,2355952.991,2316821.8780000014,5
2020-04-14,248.5480000009993,2364062.493,2356122.811000001,5
2020-04-15,322.30700000107754,2382653.0100000002,2372048.937000001,5
2020-04-16,306.27400000131456,2334167.438,2386384.337000001,5
2020-04-17,404.85400000138907,2378288.6999999997,2342289.3120000013,5
2020-04-20,362.5940000015544,2363373.09,2379095.266000001,5
2020-04-21,388.8200000015786,2361417.82,2377093.210000002,5
2020-04-22,154.2400000016787,2362863.224,2378892.3000000017,5
2020-04-23,252.97400000179186,2358356.406,2372569.864000002,5
2020-04-24,176.37200000183657,2376053.68,2356702.230000002,5
2020-04-27,399.38300000177696,2331875.296,2362888.7520000017,5
2020-04-28,291.99900000169873,2353941.296,2315455.9930000016,5
2020-04-29,392.47900000185473,2385774.153,2305793.6850000015,5
2020-04-30,337.13300000190793,2334128.32,2356196.1640000017,5
2020-05-06,321.4930000018794,2300485.9699999997,2367644.018000002,5
2020-05-07,117.41800000198418,2301776.55,2314829.1130000018,5
2020-05-08,258.32800000190036,2290975.35,2311889.808000002,5
2020-05-11,332.15600000182167,2285558.513,2298135.008000002,5
2020-05-12,351.9160000018892,2288703.992,2291157.119000002,5
2020-05-13,350.8880000017816,2253844.3619999997,2289055.9080000017,5
2020-05-14,246.7080000017886,2247409.2619999996,2260078.418000002,5
2020-05-15,345.02200000174344,2245792.162,2251987.886000002,5
2020-05-18,456.79200000170385,2250548.082,2241738.5820000013,5
2020-05-19,431.9140000017942,2232172.992,2258325.804000002,5
2020-05-20,311.106000001756,2207918.142,2225047.8360000015,5
2020-05-21,422.3460000016494,2157802.822,2264862.296000002,5
2020-05-22,220.8460000017476,2157945.912,2157630.923000002,5
2020-05-25,232.9360000018496,2158973.012,2152476.916000002,5
2020-05-26,390.1960000018448,2156661.252,2185158.2260000017,5
2020-05-27,225.24600000178907,2139470.406,2168323.636000002,5
2020-05-28,328.3840000014752,2150260.89,2137175.445000001,5
2020-05-29,343.2850000017788,2175662.73,2160592.785000002,5
2020-06-01,437.89700000191806,2179266.649,2213720.6350000016,5
2020-06-02,459.64600000192877,2169060.1999999997,2182939.146000002,5
2020-06-03,352.8560000021007,2247497.08,2192659.3260000017,5
2020-06-04,435.86600000201724,2245747.38,2178094.6860000016,5
2020-06-05,221.70600000173363,2256072.9499999997,2230360.0060000014,5
2020-06-08,310.75600000150735,2273643.54,2256294.6560000014,5
2020-06-09,221.2920000013546,2240757.135,2219058.7960000015,5
2020-06-10,393.35700000129873,2224146.6799999997,2200956.697000001,5
2020-06-11,274.8370000012219,2255380.0700000003,2215483.847000001,5
2020-06-12,228.28700000129174,2276334.56,2229340.717000001,5
2020-06-15,256.98900000128197,2269765.33,2211022.487000001,5
2020-06-16,366.0920000014012,2325126.804,2224006.9990000012,5
2020-06-17,409.9260000014874,2292066.072,2273763.7760000015,5
2020-06-18,338.5580000014161,2232899.2040000004,2259758.9380000015,5
2020-06-19,369.1670000013546,2190599.3200000003,2242175.032000001,5
2020-06-22,325.21700000144756,2211942.1500000004,2231418.8860000013,5
2020-06-23,335.8350000014452,2204144.51,2217172.7190000014,5
2020-06-24,462.80900000140537,2206422.97,2207256.6750000017,5
2020-06-29,326.76800000152434,2229074.6,2227719.3880000017,5
2020-06-30,408.1340000012642,2279557.886,2234219.8180000014,5
2020-07-01,212.28600000124425,2334162.004,2279645.776000001,5
2020-07-02,299.0760000012815,2373326.514,2284020.3460000013,5
2020-07-03,411.51700000132905,2472813.8740000003,2318630.4340000018,5
2020-07-06,381.2330000013462,2431143.124,2425251.1930000014,5
2020-07-07,303.25100000137354,2434803.93,2429821.327000002,5
2020-07-08,233.68500000145286,2465225.595,2427947.9610000015,5
2020-07-09,325.6560000014142,2452117.55,2461201.1500000013,5
2020-07-10,380.68800000142073,2478214.5,2419447.4460000014,5
2020-07-13,234.8520000014687,2625062.8000000003,2531019.104000001,5
2020-07-14,225.64200000173878,2496629.46,2602261.0920000016,5
2020-07-15,500.4920000016882,2448002.07,2586625.5120000015,5
2020-07-16,280.3340000018943,2430306.1,2399505.5380000016,5
2020-07-17,272.5640000019921,2533197.938,2413490.024000002,5
2020-07-20,425.2720000016852,2500411.9899999998,2516735.7320000017,5
